author,sentence,response,response_round,subtype,type,lexicalization,condition,number,conjunction
Borisova_2024,"Перед уроком Настя испачкала страницы и толстой, и тонкой книг.",4.5,4.0,coordination,stimul,26,"plural, and…and",plural,and…and
Borisova_2024,В марте Лиза посадила саженцы русского и американского клена.,6.0,6.0,coordination,stimul,16,"singular, and",singular,and
Borisova_2024,За час до выхода Игорь записала адрес и номер.,1.947368421052632,2.0,bad,filler,33,bad,,
Borisova_2024,Во время звонка Эля сломала старый и новый телефон.,3.8333333333333335,4.0,coordination,stimul,9,"singular, and",singular,and
Borisova_2024,После поломки Витя отремонтировал колесики большого и маленького чемоданов.,6.0,6.0,coordination,stimul,30,"plural, and",plural,and
Borisova_2024,"Перед спектаклем Петя вымыл и черную, и парадную лестницы.",6.181818181818182,6.0,coordination,stimul,15,"plural, and…and",plural,and…and
Borisova_2024,"На прошлой неделе Ксюша прослушала и фортепианный, и скрипичный концерт.",5.083333333333333,5.0,coordination,stimul,32,"singular, and…and",singular,and…and
Borisova_2024,"Во время прогулки Дима нашел иголки и сибирской, и китайской ели.",4.916666666666667,5.0,coordination,stimul,2,"singular, and…and",singular,and…and
Borisova_2024,"После аварии Миша поменял колеса и личного, и рабочего автомобилей.",6.083333333333333,6.0,coordination,stimul,1,"plural, and…and",plural,and…and
Borisova_2024,"За каникулы Варя вспомнила правила и английского, и французского языков.",6.090909090909091,6.0,coordination,stimul,19,"plural, and…and",plural,and…and
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой рек.",5.333333333333333,5.0,coordination,stimul,18,"plural, and…and",plural,and…and
Borisova_2024,В среду Сеня выучил алгебраическую и геометрическую теорему.,3.9,4.0,coordination,stimul,5,"singular, and",singular,and
Borisova_2024,На каникулах Света перешила пуговицы шелковой и ситцевой блузки.,4.416666666666667,4.0,coordination,stimul,29,"singular, and",singular,and
Borisova_2024,"В День Рождения дочки Рита подарил наборы и раскрасок, и кукол.",1.819148936170213,2.0,bad,filler,33,bad,,
Borisova_2024,После аварии Миша поменял личный и рабочий автомобиль.,4.181818181818182,4.0,coordination,stimul,1,"singular, and",singular,and
Borisova_2024,Перед спектаклем Петя вымыл черную и парадную лестницу.,5.0,5.0,coordination,stimul,15,"singular, and",singular,and
Borisova_2024,В командировке Даша посетила музеи столичного и провинциального городов.,5.0,5.0,coordination,stimul,22,"plural, and",plural,and
Borisova_2024,"При переезде Даня помял и картонную, и жестяную коробку.",5.0,5.0,coordination,stimul,31,"singular, and…and",singular,and…and
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пироги.",5.923076923076923,6.0,coordination,stimul,27,"plural, and…and",plural,and…and
Borisova_2024,Перед уроком Настя испачкала толстую и тонкую книги.,5.428571428571429,5.0,coordination,stimul,26,"plural, and",plural,and
Borisova_2024,За минуту Лера угадала имена и фамилии.,6.178947368421053,6.0,good,filler,33,good,,
Borisova_2024,"Во время уборки Таня почистила подлокотники и кожаного, и плюшевого дивана.",4.888888888888889,5.0,coordination,stimul,6,"singular, and…and",singular,and…and
Borisova_2024,"Перед концертом Аня настроила струны и классической, и гавайской гитар.",5.615384615384615,6.0,coordination,stimul,7,"plural, and…and",plural,and…and
Borisova_2024,"После представления Егор оставила шнурки и ботинок, и туфель.",1.553191489361702,2.0,bad,filler,33,bad,,
Borisova_2024,"Перед концертом Аня настроила и классическую, и гавайскую гитару.",5.25,5.0,coordination,stimul,7,"singular, and…and",singular,and…and
Borisova_2024,Во время ужина Поля разбила предметы чайного и кофейного сервиза.,4.666666666666667,5.0,coordination,stimul,25,"singular, and",singular,and
Borisova_2024,За выходные Вика заштопала лыжную и охотничью куртки.,5.833333333333333,6.0,coordination,stimul,23,"plural, and",plural,and
Borisova_2024,В декабре Юра включил белую и разноцветную гирлянды.,5.5,6.0,coordination,stimul,28,"plural, and",plural,and
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумок.,6.25,6.0,coordination,stimul,13,"plural, and",plural,and
Borisova_2024,За выходные Вика заштопала карманы лыжной и охотничьей куртки.,5.125,5.0,coordination,stimul,23,"singular, and",singular,and
Borisova_2024,Во время ужина Поля разбила предметы чайного и кофейного сервизов.,5.333333333333333,5.0,coordination,stimul,25,"plural, and",plural,and
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртку.",5.416666666666667,5.0,coordination,stimul,23,"singular, and…and",singular,and…and
Borisova_2024,Во время похода Гриша сфотографировал глубокую и мелкую реки.,5.785714285714286,6.0,coordination,stimul,18,"plural, and",plural,and
Borisova_2024,"Во время уборки Таня почистила и кожаный, и плюшевый диваны.",5.166666666666667,5.0,coordination,stimul,6,"plural, and…and",plural,and…and
Borisova_2024,"В среду Сеня выучил и алгебраическую, и геометрическую теоремы.",5.916666666666667,6.0,coordination,stimul,5,"plural, and…and",plural,and…and
Borisova_2024,Перед уборкой Ира закрыла книжный и платяной шкаф.,4.666666666666667,5.0,coordination,stimul,3,"singular, and",singular,and
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузку.,4.916666666666667,5.0,coordination,stimul,29,"singular, and",singular,and
Borisova_2024,Перед концертом Аня настроила классическую и гавайскую гитару.,4.909090909090909,5.0,coordination,stimul,7,"singular, and",singular,and
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнаты.",5.166666666666667,5.0,coordination,stimul,12,"plural, and…and",plural,and…and
Borisova_2024,В командировке Даша посетила столичный и провинциальный города.,5.25,5.0,coordination,stimul,22,"plural, and",plural,and
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песен.",4.714285714285714,5.0,coordination,stimul,21,"plural, and…and",plural,and…and
Borisova_2024,"В командировке Даша посетила музеи и столичного, и провинциального города.",4.666666666666667,5.0,coordination,stimul,22,"singular, and…and",singular,and…and
Borisova_2024,В пятницу Коля перекрасил стены спальной и детской комнат.,6.2727272727272725,6.0,coordination,stimul,12,"plural, and",plural,and
Borisova_2024,"На каникулах Света перешила пуговицы и шелковой, и ситцевой блузки.",5.2727272727272725,5.0,coordination,stimul,29,"singular, and…and",singular,and…and
Borisova_2024,"После поломки Витя отремонтировал и большой, и маленький чемоданы.",6.25,6.0,coordination,stimul,30,"plural, and…and",plural,and…and
Borisova_2024,"Во вторник Тася постирала и фиолетовую, и желтую водолазки.",5.909090909090909,6.0,coordination,stimul,20,"plural, and…and",plural,and…and
Borisova_2024,На празднике Катя прочитала строки латинской и древнегреческой од.,6.444444444444445,6.0,coordination,stimul,4,"plural, and",plural,and
Borisova_2024,Во время звонка Эля сломала кнопки старого и нового телефона.,4.4,4.0,coordination,stimul,9,"singular, and",singular,and
Borisova_2024,"За каникулы Варя вспомнила и английский, и французский языки.",6.0,6.0,coordination,stimul,19,"plural, and…and",plural,and…and
Borisova_2024,Во время похода Гриша сфотографировал глубокую и мелкую реку.,4.909090909090909,5.0,coordination,stimul,18,"singular, and",singular,and
Borisova_2024,"За два часа Леша починил ножки и деревянного, и пластмассового стола.",5.25,5.0,coordination,stimul,11,"singular, and…and",singular,and…and
Borisova_2024,"После поломки Витя отремонтировал колесики и большого, и маленького чемоданов.",5.636363636363637,6.0,coordination,stimul,30,"plural, and…and",plural,and…and
Borisova_2024,"В четверг Леня посмотрел и итальянский, и немецкий фильм.",5.75,6.0,coordination,stimul,8,"singular, and…and",singular,and…and
Borisova_2024,"После теста Люба порвала листы и черновой, и чистовой тетради.",5.2727272727272725,5.0,coordination,stimul,10,"singular, and…and",singular,and…and
Borisova_2024,В декабре Юра включил лампочки белой и разноцветной гирлянды.,5.833333333333333,6.0,coordination,stimul,28,"singular, and",singular,and
Borisova_2024,"После аварии Миша поменял колеса и личного, и рабочего автомобиля.",5.076923076923077,5.0,coordination,stimul,1,"singular, and…and",singular,and…and
Borisova_2024,"В прошлом ноябре Лида продала и кровать, и ковер.",6.361702127659575,6.0,good,filler,33,good,,
Borisova_2024,Перед концертом Аня настроила классическую и гавайскую гитары.,6.454545454545454,6.0,coordination,stimul,7,"plural, and",plural,and
Borisova_2024,За два часа Леша починил деревянный и пластмассовый стол.,4.5,4.0,coordination,stimul,11,"singular, and",singular,and
Borisova_2024,"На прошлой неделе Ксюша прослушала части и фортепианного, и скрипичного концертов.",5.25,5.0,coordination,stimul,32,"plural, and…and",plural,and…and
Borisova_2024,"Перед спектаклем Петя вымыл ступени и черной, и парадной лестницы.",5.307692307692308,5.0,coordination,stimul,15,"singular, and…and",singular,and…and
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафов.",6.2,6.0,coordination,stimul,3,"plural, and…and",plural,and…and
Borisova_2024,"В марте Лиза посадила и русский, и американский клены.",5.222222222222222,5.0,coordination,stimul,16,"plural, and…and",plural,and…and
Borisova_2024,"Перед уходом Ира закрыла и книжный, и платяной шкаф.",5.571428571428571,6.0,coordination,stimul,3,"singular, and…and",singular,and…and
Borisova_2024,В четверг Леня посмотрел отрывки итальянского и немецкого фильмов.,6.0,6.0,coordination,stimul,8,"plural, and",plural,and
Borisova_2024,После теста Люба порвала черновую и чистовую тетрадь.,4.818181818181818,5.0,coordination,stimul,10,"singular, and",singular,and
Borisova_2024,На прошлой неделе Ксюша прослушала части фортепианного и скрипичного концерта.,5.230769230769231,5.0,coordination,stimul,32,"singular, and",singular,and
Borisova_2024,На вечеринке Люся предложил танцы и конкурсы.,2.10752688172043,2.0,bad,filler,33,bad,,
Borisova_2024,"В декабре Юра включил и белую, и разноцветную гирлянды.",5.0,5.0,coordination,stimul,28,"plural, and…and",plural,and…and
Borisova_2024,В декабре Юра включил белую и разноцветную гирлянду.,5.571428571428571,6.0,coordination,stimul,28,"singular, and",singular,and
Borisova_2024,"Перед уходом Ира закрыла дверцы и книжного, и платяного шкафа.",5.25,5.0,coordination,stimul,3,"singular, and…and",singular,and…and
Borisova_2024,После отпуска Маша подлатала замшевую и холщовую сумку.,3.8,4.0,coordination,stimul,13,"singular, and",singular,and
Borisova_2024,"В декабре Юра включил и белую, и разноцветную гирлянду.",5.0,5.0,coordination,stimul,28,"singular, and…and",singular,and…and
Borisova_2024,При переезде Даня помял стенки картонной и жестяной коробки.,5.222222222222222,5.0,coordination,stimul,31,"singular, and",singular,and
Borisova_2024,"На каникулах Света перешила и шелковую, и ситцевую блузки.",6.636363636363637,7.0,coordination,stimul,29,"plural, and…and",plural,and…and
Borisova_2024,В декабре Юра включил лампочки белой и разноцветной гирлянд.,5.9,6.0,coordination,stimul,28,"plural, and",plural,and
Borisova_2024,На каникулах Света перешила шелковую и ситцевую блузки.,6.0,6.0,coordination,stimul,29,"plural, and",plural,and
Borisova_2024,За ужином Нина показала фотографии и рисунки.,6.610526315789474,7.0,good,filler,33,good,,
Borisova_2024,В прошлом году Боря выбросил кресло и стул.,6.484210526315789,6.0,good,filler,33,good,,
Borisova_2024,"За обедом Костя съел и капустный, и яблочный пирог.",5.785714285714286,6.0,coordination,stimul,27,"singular, and…and",singular,and…and
Borisova_2024,Перед спектаклем Петя вымыл черную и парадную лестницы.,6.25,6.0,coordination,stimul,15,"plural, and",plural,and
Borisova_2024,"На празднике Катя прочитала и латинскую, и древнегреческую оду.",4.583333333333333,5.0,coordination,stimul,4,"singular, and…and",singular,and…and
Borisova_2024,"Во время похода Гриша сфотографировал и глубокую, и мелкую реку.",5.666666666666667,6.0,coordination,stimul,18,"singular, and…and",singular,and…and
Borisova_2024,"В июне Гоша украл шины и рейсового, и экскурсионного автобуса.",4.75,5.0,coordination,stimul,14,"singular, and…and",singular,and…and
Borisova_2024,После поломки Витя отремонтировал большой и маленький чемодан.,5.307692307692308,5.0,coordination,stimul,30,"singular, and",singular,and
Borisova_2024,"В июне Гоша угнал и рейсовый, и экскурсионный автобус.",4.727272727272728,5.0,coordination,stimul,14,"singular, and…and",singular,and…and
Borisova_2024,В пятницу Коля перекрасил стены спальной и детской комнаты.,5.416666666666667,5.0,coordination,stimul,12,"singular, and",singular,and
Borisova_2024,Перед уходом Ира закрыла дверцы книжного и платяного шкафов.,6.083333333333333,6.0,coordination,stimul,3,"plural, and",plural,and
Borisova_2024,Перед уроком Настя испачкала страницы толстой и тонкой книги.,5.230769230769231,5.0,coordination,stimul,26,"singular, and",singular,and
Borisova_2024,"Во вторник Тася постирала рукава и фиолетовой, и желтой водолазки.",5.083333333333333,5.0,coordination,stimul,20,"singular, and…and",singular,and…and
Borisova_2024,"Перед уроком Настя испачкала и толстую, и тонкую книгу.",5.333333333333333,5.0,coordination,stimul,26,"singular, and…and",singular,and…and
Borisova_2024,Перед уходом Ира закрыла дверцы книжного и платяного шкафа.,5.25,5.0,coordination,stimul,3,"singular, and",singular,and
Borisova_2024,"В понедельник Олег пропылесосил и ванную, и гостиную.",6.1063829787234045,6.0,good,filler,33,good,,
Borisova_2024,"За выходные Вика заштопала и лыжную, и охотничью куртки.",6.2727272727272725,6.0,coordination,stimul,23,"plural, and…and",plural,and…and
Borisova_2024,"Во время звонка Эля сломала и старый, и новый телефон.",4.727272727272728,5.0,coordination,stimul,9,"singular, and…and",singular,and…and
Borisova_2024,"Во время похода Гриша сфотографировал берега и глубокой, и мелкой реки.",5.090909090909091,5.0,coordination,stimul,18,"singular, and…and",singular,and…and
Borisova_2024,"Во время звонка Эля сломала и старый, и новый телефоны.",5.428571428571429,5.0,coordination,stimul,9,"plural, and…and",plural,and…and
Borisova_2024,"В пятницу Коля перекрасил и спальную, и детскую комнату.",5.083333333333333,5.0,coordination,stimul,12,"singular, and…and",singular,and…and
Borisova_2024,Во время прогулки Дима нашел иголки сибирской и китайской елей.,6.181818181818182,6.0,coordination,stimul,2,"plural, and",plural,and
Borisova_2024,Во время прогулки Дима нашел сибирскую и китайскую ель.,4.727272727272728,5.0,coordination,stimul,2,"singular, and",singular,and
Borisova_2024,После отпуска Маша подлатала замшевую и холщовую сумки.,6.0,6.0,coordination,stimul,13,"plural, and",plural,and
Borisova_2024,На празднике Катя прочитала латинскую и древнегреческую оду.,5.642857142857143,6.0,coordination,stimul,4,"singular, and",singular,and
Borisova_2024,Через неделю Вова унес кучи листьев и мусора.,4.967032967032967,5.0,good,filler,33,good,,
Borisova_2024,"За полминуты Зина прожевали остатки и хлеба, и мяса.",2.3043478260869565,2.0,bad,filler,33,bad,,
Borisova_2024,В марте Лиза посадила саженцы русского и американского кленов.,5.538461538461538,6.0,coordination,stimul,16,"plural, and",plural,and
Borisova_2024,"На мастер-классе Рома нарисовал и военный, и пиратский корабли.",6.111111111111111,6.0,coordination,stimul,24,"plural, and…and",plural,and…and
Borisova_2024,"В последнее время Макар любила и теннис, и волейбол.",1.6236559139784943,2.0,bad,filler,33,bad,,
Borisova_2024,"После аварии Миша поменял и личный, и рабочий автомобиль.",4.636363636363637,5.0,coordination,stimul,1,"singular, and…and",singular,and…and
Borisova_2024,"В марте Лиза посадила саженцы и русского, и американского клена.",5.0,5.0,coordination,stimul,16,"singular, and…and",singular,and…and
Borisova_2024,В марте Лиза посадила русский и американский клены.,4.909090909090909,5.0,coordination,stimul,16,"plural, and",plural,and
Borisova_2024,"Во время прогулки Дима нашел иголки и сибирской, и китайской елей.",5.0,5.0,coordination,stimul,2,"plural, and…and",plural,and…and
Borisova_2024,"В прошлом мае Антон заметили отсутствие и денег, и документов.",2.6989247311827955,3.0,bad,filler,33,bad,,
Borisova_2024,"На мастер-классе Рома нарисовал и военный, и пиратский корабль.",5.166666666666667,5.0,coordination,stimul,24,"singular, and…and",singular,and…and
Borisova_2024,"В воскресенье Тоня промочила и кроссовки, и носки.",6.347368421052631,6.0,good,filler,33,good,,
Borisova_2024,"За обедом Костя съел остатки и капустного, и яблочного пирогов.",5.909090909090909,6.0,coordination,stimul,27,"plural, and…and",plural,and…and
Borisova_2024,В июне Гоша угнал рейсовый и экскурсионный автобус.,4.75,5.0,coordination,stimul,14,"singular, and",singular,and
Borisova_2024,В четверг Леня посмотрел итальянский и немецкий фильмы.,6.6,7.0,coordination,stimul,8,"plural, and",plural,and
Borisova_2024,За обедом Костя съел капустный и яблочный пироги.,6.333333333333333,6.0,coordination,stimul,27,"plural, and",plural,and
Borisova_2024,Во время уборки Таня почистила кожаный и плюшевый диван.,4.0,4.0,coordination,stimul,6,"singular, and",singular,and
Borisova_2024,"В тот день Зоя напечатала рассказы и Чехова, и Зощенко.",6.393617021276596,6.0,good,filler,33,good,,
Borisova_2024,"При переезде Даня помял стенки и картонной, и жестяной коробки.",5.0,5.0,coordination,stimul,31,"singular, and…and",singular,and…and
Borisova_2024,"На каникулах Света перешила пуговицы и шелковой, и ситцевой блузок.",5.428571428571429,5.0,coordination,stimul,29,"plural, and…and",plural,and…and
Borisova_2024,"На концерте Степа спел и дореволюционную, и советскую песню.",4.384615384615385,4.0,coordination,stimul,21,"singular, and…and",singular,and…and
Borisova_2024,"После отпуска Маша подлатала ручки и замшевой, и холщовой сумок.",5.307692307692308,5.0,coordination,stimul,13,"plural, and…and",plural,and…and
Borisova_2024,"На занятии Вася повредил и стационарный, и портативный компьютеры.",5.571428571428571,6.0,coordination,stimul,17,"plural, and…and",plural,and…and
Borisova_2024,"На мастер-классе Рома нарисовал мачты и военного, и пиратского кораблей.",5.166666666666667,5.0,coordination,stimul,24,"plural, and…and",plural,and…and
Borisova_2024,"После отпуска Маша подлатала ручки и замшевой, и холщовой сумки.",4.818181818181818,5.0,coordination,stimul,13,"singular, and…and",singular,and…and
Borisova_2024,"За выходные Вика заштопала карманы и лыжной, и охотничьей курток.",5.6923076923076925,6.0,coordination,stimul,23,"plural, and…and",plural,and…and
Borisova_2024,Перед спектаклем Петя вымыл ступени черной и парадной лестниц.,5.416666666666667,5.0,coordination,stimul,15,"plural, and",plural,and
Borisova_2024,"При переезде Даня помял и картонную, и жестяную коробки.",6.0,6.0,coordination,stimul,31,"plural, and…and",plural,and…and
Borisova_2024,В пятницу Коля перекрасил спальную и детскую комнаты.,5.153846153846154,5.0,coordination,stimul,12,"plural, and",plural,and
Borisova_2024,"Во время звонка Эля сломала кнопки и старого, и нового телефона.",5.384615384615385,5.0,coordination,stimul,9,"singular, and…and",singular,and…and
Borisova_2024,На прошлой неделе Ксюша прослушала фортепианный и скрипичный концерт.,4.545454545454546,5.0,coordination,stimul,32,"singular, and",singular,and
Borisova_2024,"За полчаса Илья выяснили и район, и квартал.",2.032608695652174,2.0,bad,filler,33,bad,,
Borisova_2024,"Во вторник Тася постирала и фиолетовую, и желтую водолазку.",5.083333333333333,5.0,coordination,stimul,20,"singular, and…and",singular,and…and
Borisova_2024,На занятии Вася повредил динамики стационарного и портативного компьютера.,4.333333333333333,4.0,coordination,stimul,17,"singular, and",singular,and
Borisova_2024,"После отпуска Маша подлатала и замшевую, и холщовую сумки.",6.25,6.0,coordination,stimul,13,"plural, and…and",plural,and…and
Borisova_2024,"В пятницу Коля перекрасил стены и спальной, и детской комнат.",5.0,5.0,coordination,stimul,12,"plural, and…and",plural,and…and
Borisova_2024,Перед спектаклем Петя вымыл ступени черной и парадной лестницы.,5.333333333333333,5.0,coordination,stimul,15,"singular, and",singular,and
Borisova_2024,Во время ужина Поля разбила чайный и кофейный сервизы.,5.555555555555555,6.0,coordination,stimul,25,"plural, and",plural,and
Borisova_2024,"За два часа Леша починил ножки и деревянного, и пластмассового столов.",6.2727272727272725,6.0,coordination,stimul,11,"plural, and…and",plural,and…and
Borisova_2024,"Во время уборки Таня почистила и кожаный, и плюшевый диван.",5.166666666666667,5.0,coordination,stimul,6,"singular, and…and",singular,and…and
Borisova_2024,В июне Гоша угнал рейсовый и экскурсионный автобусы.,6.166666666666667,6.0,coordination,stimul,14,"plural, and",plural,and
Borisova_2024,Во время ужина Поля разбила чайный и кофейный сервиз.,4.416666666666667,4.0,coordination,stimul,25,"singular, and",singular,and
