author,sentence,response,response_round,subtype,type,lexicalization,condition,number,conjunction
Borisova_2024,"На мастер-классе Рома нарисовал мачты и военного, и пиратского корабля.",4.909090909090909,5.0,coordination,stimul,24,"singular, and…and",singular,and…and
Borisova_2024,"Перед концертом Аня настроила струны и классической, и гавайской гитары.",5.571428571428571,6.0,coordination,stimul,7,"singular, and…and",singular,and…and
Borisova_2024,"На концерте Степа спел и дореволюционную, и советскую песни.",5.916666666666667,6.0,coordination,stimul,21,"plural, and…and",plural,and…and
Borisova_2024,Во вторник Тася постирала фиолетовую и желтую водолазки.,6.25,6.0,coordination,stimul,20,"plural, and",plural,and
Borisova_2024,Во время прогулки Дима нашел иголки сибирской и китайской ели.,5.384615384615385,5.0,coordination,stimul,2,"singular, and",singular,and
Borisova_2024,"В командировке Даша посетила и столичный, и провинциальный города.",4.545454545454546,5.0,coordination,stimul,22,"plural, and…and",plural,and…and
Borisova_2024,На концерте Степа спел дореволюционную и советскую песню.,3.4166666666666665,3.0,coordination,stimul,21,"singular, and",singular,and
Borisova_2024,"В пятницу Коля перекрасил стены и спальной, и детской комнаты.",4.363636363636363,4.0,coordination,stimul,12,"singular, and…and",singular,and…and
Borisova_2024,На каникулах Света перешила пуговицы шелковой и ситцевой блузок.,6.25,6.0,coordination,stimul,29,"plural, and",plural,and
Borisova_2024,"Перед приходом директора Вера протерли и стекла, и зеркала.",2.0,2.0,bad,filler,33,bad,,
Borisova_2024,За обедом Костя съел капустный и яблочный пирог.,5.5,6.0,coordination,stimul,27,"singular, and",singular,and
Borisova_2024,Во вторник Тася постирала рукава фиолетовой и желтой водолазок.,6.090909090909091,6.0,coordination,stimul,20,"plural, and",plural,and
Borisova_2024,"В среду Сеня выучил и алгебраическую, и геометрическую теорему.",5.384615384615385,5.0,coordination,stimul,5,"singular, and…and",singular,and…and
Borisova_2024,"На занятии Вася повредил и стационарный, и портативный компьютер.",4.636363636363637,5.0,coordination,stimul,17,"singular, and…and",singular,and…and
Borisova_2024,Во время уборки Таня почистила кожаный и плюшевый диваны.,6.333333333333333,6.0,coordination,stimul,6,"plural, and",plural,and
Borisova_2024,"После поломки Витя отремонтировал и большой, и маленький чемодан.",4.916666666666667,5.0,coordination,stimul,30,"singular, and…and",singular,and…and
Borisova_2024,В этом сентябре Инна встретил жен одноклассника и однокурсника.,2.136842105263158,2.0,bad,filler,33,bad,,
Borisova_2024,"После отпуска Маша подлатала и замшевую, и холщовую сумку.",4.636363636363637,5.0,coordination,stimul,13,"singular, and…and",singular,and…and
Borisova_2024,Во вторник Тася постирала фиолетовую и желтую водолазку.,5.428571428571429,5.0,coordination,stimul,20,"singular, and",singular,and
Borisova_2024,"В командировке Даша посетила музеи и столичного, и провинциального городов.",5.636363636363637,6.0,coordination,stimul,22,"plural, and…and",plural,and…and
Borisova_2024,Перед контрольной Глеб запомнили даты и факты.,3.118279569892473,3.0,bad,filler,33,bad,,
Borisova_2024,После теста Люба порвала листы черновой и чистовой тетрадей.,6.2727272727272725,6.0,coordination,stimul,10,"plural, and",plural,and
Borisova_2024,"За день Ваня решил задания и теста, и проверочной.",5.404255319148936,5.0,good,filler,33,good,,
Borisova_2024,За два часа Леша починил ножки деревянного и пластмассового столов.,6.090909090909091,6.0,coordination,stimul,11,"plural, and",plural,and
Borisova_2024,После поломки Витя отремонтировал большой и маленький чемоданы.,6.416666666666667,6.0,coordination,stimul,30,"plural, and",plural,and
Borisova_2024,"Во время ужина Поля разбила и чайный, и кофейный сервиз.",5.2,5.0,coordination,stimul,25,"singular, and…and",singular,and…and
Borisova_2024,При переезде Даня помял стенки картонной и жестяной коробок.,5.454545454545454,5.0,coordination,stimul,31,"plural, and",plural,and
Borisova_2024,Перед уроком Настя испачкала толстую и тонкую книгу.,3.727272727272727,4.0,coordination,stimul,26,"singular, and",singular,and
Borisova_2024,На концерте Степа спел дореволюционную и советскую песни.,5.636363636363637,6.0,coordination,stimul,21,"plural, and",plural,and
Borisova_2024,"При переезде Даня помял стенки и картонной, и жестяной коробок.",5.181818181818182,5.0,coordination,stimul,31,"plural, and…and",plural,and…and
Borisova_2024,Перед уходом Ира закрыла книжный и платяной шкафы.,6.363636363636363,6.0,coordination,stimul,3,"plural, and",plural,and
Borisova_2024,За два часа Леша починил деревянный и пластмассовый столы.,6.166666666666667,6.0,coordination,stimul,11,"plural, and",plural,and
Borisova_2024,"Во время пробежки Денис считал ветки и березы, и дуба.",5.112359550561798,5.0,good,filler,33,good,,
Borisova_2024,"Перед праздником Юля связал и игрушки, и шапки.",1.9894736842105265,2.0,bad,filler,33,bad,,
Borisova_2024,"В четверг Леня посмотрел отрывки и итальянского, и немецкого фильмов.",5.333333333333333,5.0,coordination,stimul,8,"plural, and…and",plural,and…and
Borisova_2024,После аварии Миша поменял колеса личного и рабочего автомобиля.,4.636363636363637,5.0,coordination,stimul,1,"singular, and",singular,and
Borisova_2024,"На празднике Катя прочитала строки и латинской, и древнегреческой оды.",5.166666666666667,5.0,coordination,stimul,4,"singular, and…and",singular,and…and
Borisova_2024,"После аварии Миша поменял и личный, и рабочий автомобили.",6.0,6.0,coordination,stimul,1,"plural, and…and",plural,and…and
Borisova_2024,Во время уборки Таня почистила подлокотники кожаного и плюшевого дивана.,4.181818181818182,4.0,coordination,stimul,6,"singular, and",singular,and
Borisova_2024,"Перед уходом Ира закрыла и книжный, и платяной шкафы.",5.666666666666667,6.0,coordination,stimul,3,"plural, and…and",plural,and…and
Borisova_2024,"На концерте Степа спел куплеты и дореволюционной, и советской песни.",4.0,4.0,coordination,stimul,21,"singular, and…and",singular,and…and
Borisova_2024,"На каникулах Света перешила и шелковую, и ситцевую блузку.",5.769230769230769,6.0,coordination,stimul,29,"singular, and…and",singular,and…and
Borisova_2024,"Перед спектаклем Петя вымыл и черную, и парадную лестницу.",4.916666666666667,5.0,coordination,stimul,15,"singular, and…and",singular,and…and
Borisova_2024,За выходные Вика заштопала лыжную и охотничью куртку.,5.166666666666667,5.0,coordination,stimul,23,"singular, and",singular,and
Borisova_2024,Перед концертом Аня настроила струны классической и гавайской гитары.,5.888888888888889,6.0,coordination,stimul,7,"singular, and",singular,and
Borisova_2024,"После теста Люба порвала и черновую, и чистовую тетради.",5.666666666666667,6.0,coordination,stimul,10,"plural, and…and",plural,and…and
Borisova_2024,После отпуска Маша подлатала ручки замшевой и холщовой сумки.,4.636363636363637,5.0,coordination,stimul,13,"singular, and",singular,and
Borisova_2024,Перед завтраком Надя выпили стаканы воды и сока.,1.925531914893617,2.0,bad,filler,33,bad,,
Borisova_2024,"За выходные Вика заштопала карманы и лыжной, и охотничьей куртки.",4.571428571428571,5.0,coordination,stimul,23,"singular, and…and",singular,and…and
Borisova_2024,За обедом Костя съел остатки капустного и яблочного пирога.,4.916666666666667,5.0,coordination,stimul,27,"singular, and",singular,and
Borisova_2024,"Во время ужина Поля разбила предметы и чайного, и кофейного сервиза.",4.363636363636363,4.0,coordination,stimul,25,"singular, and…and",singular,and…and
Borisova_2024,"Во время похода Гриша сфотографировал и глубокую, и мелкую реки.",5.818181818181818,6.0,coordination,stimul,18,"plural, and…and",plural,and…and
Borisova_2024,На празднике Катя прочитала латинскую и древнегреческую оды.,5.846153846153846,6.0,coordination,stimul,4,"plural, and",plural,and
Borisova_2024,На мастер-классе Рома нарисовал военный и пиратский корабль.,4.818181818181818,5.0,coordination,stimul,24,"singular, and",singular,and
Borisova_2024,"В марте Лиза посадила саженцы и русского, и американского кленов.",4.583333333333333,5.0,coordination,stimul,16,"plural, and…and",plural,and…and
Borisova_2024,"Во время ужина Поля разбила и чайный, и кофейный сервизы.",5.642857142857143,6.0,coordination,stimul,25,"plural, and…and",plural,and…and
Borisova_2024,В пятницу Коля перекрасил спальную и детскую комнату.,4.857142857142857,5.0,coordination,stimul,12,"singular, and",singular,and
Borisova_2024,"Во время прогулки Дима нашел и сибирскую, и китайскую ели.",4.833333333333333,5.0,coordination,stimul,2,"plural, and…and",plural,and…and
Borisova_2024,"Перед уроком Настя испачкала страницы и толстой, и тонкой книги.",5.25,5.0,coordination,stimul,26,"singular, and…and",singular,and…and
Borisova_2024,"В четверг Леня посмотрел и итальянский, и немецкий фильмы.",5.666666666666667,6.0,coordination,stimul,8,"plural, and…and",plural,and…and
Borisova_2024,"За два часа Леша починил и деревянный, и пластмассовый стол.",5.461538461538462,5.0,coordination,stimul,11,"singular, and…and",singular,and…and
Borisova_2024,Перед уроком Настя испачкала страницы толстой и тонкой книг.,5.416666666666667,5.0,coordination,stimul,26,"plural, and",plural,and
Borisova_2024,В июне Гоша украл шины рейсового и экскурсионного автобусов.,5.714285714285714,6.0,coordination,stimul,14,"plural, and",plural,and
Borisova_2024,В марте Лиза посадила русский и американский клен.,4.833333333333333,5.0,coordination,stimul,16,"singular, and",singular,and
Borisova_2024,На мастер-классе Рома нарисовал мачты военного и пиратского корабля.,5.857142857142857,6.0,coordination,stimul,24,"singular, and",singular,and
Borisova_2024,За каникулы Варя вспомнила английский и французский языки.,6.666666666666667,7.0,coordination,stimul,19,"plural, and",plural,and
Borisova_2024,"За два часа Леша починил и деревянный, и пластмассовый столы.",6.166666666666667,6.0,coordination,stimul,11,"plural, and…and",plural,and…and
Borisova_2024,"В декабре Юра включил лампочки и белой, и разноцветной гирлянд.",4.428571428571429,4.0,coordination,stimul,28,"plural, and…and",plural,and…and
Borisova_2024,В июне Гоша украл шины рейсового и экскурсионного автобуса.,4.4,4.0,coordination,stimul,14,"singular, and",singular,and
Borisova_2024,"На празднике Катя прочитала и латинскую, и древнегреческую оды.",5.083333333333333,5.0,coordination,stimul,4,"plural, and…and",plural,and…and
Borisova_2024,После аварии Миша поменял личный и рабочий автомобили.,5.125,5.0,coordination,stimul,1,"plural, and",plural,and
Borisova_2024,В Новогоднюю ночь Оля получили подарки и открытки.,3.273684210526316,3.0,bad,filler,33,bad,,
Borisova_2024,В среду Сеня выучил следствия алгебраической и геометрической теорем.,6.285714285714286,6.0,coordination,stimul,5,"plural, and",plural,and
Borisova_2024,"На прошлой неделе Ксюша прослушала и фортепианный, и скрипичный концерты.",5.444444444444445,5.0,coordination,stimul,32,"plural, and…and",plural,and…and
Borisova_2024,"За каникулы Варя вспомнила и английский, и французский язык.",5.571428571428571,6.0,coordination,stimul,19,"singular, and…and",singular,and…and
Borisova_2024,Во вторник Тася постирала рукава фиолетовой и желтой водолазки.,4.909090909090909,5.0,coordination,stimul,20,"singular, and",singular,and
Borisova_2024,"За каникулы Варя вспомнила правила и английского, и французского языка.",5.833333333333333,6.0,coordination,stimul,19,"singular, and…and",singular,and…and
Borisova_2024,"На занятии Вася повредил динамики и стационарного, и портативного компьютеров.",6.583333333333333,7.0,coordination,stimul,17,"plural, and…and",plural,and…and
Borisova_2024,"Во время уборки Таня почистила подлокотники и кожаного, и плюшевого диванов.",6.1,6.0,coordination,stimul,6,"plural, and…and",plural,and…and
Borisova_2024,Во время звонка Эля сломала старый и новый телефоны.,5.666666666666667,6.0,coordination,stimul,9,"plural, and",plural,and
Borisova_2024,За выходные Вика заштопала карманы лыжной и охотничьей курток.,5.454545454545454,5.0,coordination,stimul,23,"plural, and",plural,and
Borisova_2024,За каникулы Варя вспомнила правила английского и французского языков.,6.5,6.0,coordination,stimul,19,"plural, and",plural,and
Borisova_2024,"В командировке Даша посетила и столичный, и провинциальный город.",4.833333333333333,5.0,coordination,stimul,22,"singular, and…and",singular,and…and
Borisova_2024,"Во вторник Тася постирала рукава и фиолетовой, и желтой водолазок.",5.125,5.0,coordination,stimul,20,"plural, and…and",plural,and…and
Borisova_2024,На празднике Катя прочитала строки латинской и древнегреческой оды.,5.25,5.0,coordination,stimul,4,"singular, and",singular,and
Borisova_2024,До обеденного перерыва Алиса подписала бумаги бухгалтера и секретаря.,5.989130434782608,6.0,good,filler,33,good,,
Borisova_2024,"Перед уроком Настя испачкала и толстую, и тонкую книги.",5.5,6.0,coordination,stimul,26,"plural, and…and",plural,and…and
Borisova_2024,"Перед концертом Аня настроила и классическую, и гавайскую гитары.",5.909090909090909,6.0,coordination,stimul,7,"plural, and…and",plural,and…and
Borisova_2024,Во время похода Гриша сфотографировал берега глубокой и мелкой реки.,5.363636363636363,5.0,coordination,stimul,18,"singular, and",singular,and
Borisova_2024,На занятии Вася повредил стационарный и портативный компьютер.,3.727272727272727,4.0,coordination,stimul,17,"singular, and",singular,and
Borisova_2024,"На занятии Вася повредил динамики и стационарного, и портативного компьютера.",5.538461538461538,6.0,coordination,stimul,17,"singular, and…and",singular,and…and
Borisova_2024,"Во время прогулки Дима нашел и сибирскую, и китайскую ель.",5.444444444444445,5.0,coordination,stimul,2,"singular, and…and",singular,and…and
Borisova_2024,В октябре Артем выучил стихи Пушкина и Лермонтова.,6.494736842105263,6.0,good,filler,33,good,,
Borisova_2024,После теста Люба порвала листы черновой и чистовой тетради.,5.230769230769231,5.0,coordination,stimul,10,"singular, and",singular,and
Borisova_2024,"Перед спектаклем Петя вымыл ступени и черной, и парадной лестниц.",5.384615384615385,5.0,coordination,stimul,15,"plural, and…and",plural,and…and
Borisova_2024,"В июне Гоша угнал и рейсовый, и экскурсионный автобусы.",5.636363636363637,6.0,coordination,stimul,14,"plural, and…and",plural,and…and
Borisova_2024,За полгода до свадьбы Дина создала чаты гостей и родственников.,6.095744680851064,6.0,good,filler,33,good,,
Borisova_2024,На занятии Вася повредил динамики стационарного и портативного компьютеров.,5.727272727272728,6.0,coordination,stimul,17,"plural, and",plural,and
Borisova_2024,"После теста Люба порвала листы и черновой, и чистовой тетрадей.",5.25,5.0,coordination,stimul,10,"plural, and…and",plural,and…and
Borisova_2024,За два часа Леша починил ножки деревянного и пластмассового стола.,4.75,5.0,coordination,stimul,11,"singular, and",singular,and
Borisova_2024,"В марте Лиза посадила и русский, и американский клен.",4.083333333333333,4.0,coordination,stimul,16,"singular, and…and",singular,and…and
Borisova_2024,На мастер-классе Рома нарисовал мачты военного и пиратского кораблей.,6.090909090909091,6.0,coordination,stimul,24,"plural, and",plural,and
Borisova_2024,"На прошлой неделе Ксюша прослушала части и фортепианного, и скрипичного концерта.",5.0,5.0,coordination,stimul,32,"singular, and…and",singular,and…and
Borisova_2024,В четверг Леня посмотрел отрывки итальянского и немецкого фильма.,4.714285714285714,5.0,coordination,stimul,8,"singular, and",singular,and
Borisova_2024,При переезде Даня помял картонную и жестяную коробку.,5.166666666666667,5.0,coordination,stimul,31,"singular, and",singular,and
Borisova_2024,На прошлой неделе Ксюша прослушала фортепианный и скрипичный концерты.,6.0,6.0,coordination,stimul,32,"plural, and",plural,and
Borisova_2024,Во время похода Гриша сфотографировал берега глубокой и мелкой рек.,5.2,5.0,coordination,stimul,18,"plural, and",plural,and
Borisova_2024,На занятии Вася повредил стационарный и портативный компьютеры.,5.75,6.0,coordination,stimul,17,"plural, and",plural,and
Borisova_2024,"Во время звонка Эля сломала кнопки и старого, и нового телефонов.",6.181818181818182,6.0,coordination,stimul,9,"plural, and…and",plural,and…and
Borisova_2024,"В июне Гоша украл шины и рейсового, и экскурсионного автобусов.",5.75,6.0,coordination,stimul,14,"plural, and…and",plural,and…and
Borisova_2024,Перед концертом Аня настроила струны классической и гавайской гитар.,5.909090909090909,6.0,coordination,stimul,7,"plural, and",plural,and
Borisova_2024,При переезде Даня помял картонную и жестяную коробки.,5.545454545454546,6.0,coordination,stimul,31,"plural, and",plural,and
Borisova_2024,"После соревнований Яна осознала причины и скуки, и усталости.",5.421052631578948,5.0,good,filler,33,good,,
Borisova_2024,На концерте Степа спел куплеты дореволюционной и советской песен.,5.222222222222222,5.0,coordination,stimul,21,"plural, and",plural,and
Borisova_2024,На зимних каникулах Марк купил лыжи и коньки.,6.673913043478261,7.0,good,filler,33,good,,
Borisova_2024,За каникулы Варя вспомнила английский и французский язык.,6.0,6.0,coordination,stimul,19,"singular, and",singular,and
Borisova_2024,"На празднике Катя прочитала строки и латинской, и древнегреческой од.",5.0,5.0,coordination,stimul,4,"plural, and…and",plural,and…and
Borisova_2024,Во время уборки Таня почистила подлокотники кожаного и плюшевого диванов.,6.153846153846154,6.0,coordination,stimul,6,"plural, and",plural,and
Borisova_2024,"В декабре Юра включил лампочки и белой, и разноцветной гирлянды.",5.181818181818182,5.0,coordination,stimul,28,"singular, and…and",singular,and…and
Borisova_2024,"В среду Сеня выучил следствия и алгебраической, и геометрической теоремы.",5.0,5.0,coordination,stimul,5,"singular, and…and",singular,and…and
Borisova_2024,После поломки Витя отремонтировал колесики большого и маленького чемодана.,4.6,5.0,coordination,stimul,30,"singular, and",singular,and
Borisova_2024,В командировке Даша посетила столичный и провинциальный город.,4.0,4.0,coordination,stimul,22,"singular, and",singular,and
Borisova_2024,Во время звонка Эля сломала кнопки старого и нового телефонов.,5.083333333333333,5.0,coordination,stimul,9,"plural, and",plural,and
Borisova_2024,На мастер-классе Рома нарисовал военный и пиратский корабли.,6.181818181818182,6.0,coordination,stimul,24,"plural, and",plural,and
Borisova_2024,За каникулы Варя вспомнила правила английского и французского языка.,5.0,5.0,coordination,stimul,19,"singular, and",singular,and
Borisova_2024,"В четверг Леня посмотрел отрывки и итальянского, и немецкого фильма.",4.0,4.0,coordination,stimul,8,"singular, and…and",singular,and…and
Borisova_2024,"После теста Люба порвала и черновую, и чистовую тетрадь.",4.555555555555555,5.0,coordination,stimul,10,"singular, and…and",singular,and…and
Borisova_2024,"За обедом Костя съел остатки и капустного, и яблочного пирога.",6.166666666666667,6.0,coordination,stimul,27,"singular, and…and",singular,and…and
Borisova_2024,"В среду Сеня выучил следствия и алгебраической, и геометрической теорем.",5.785714285714286,6.0,coordination,stimul,5,"plural, and…and",plural,and…and
Borisova_2024,После экзамена Лева узнали оценки двоечников и троечников.,1.7204301075268815,2.0,bad,filler,33,bad,,
Borisova_2024,После теста Люба порвала черновую и чистовую тетради.,5.769230769230769,6.0,coordination,stimul,10,"plural, and",plural,and
Borisova_2024,Во время прогулки Дима нашел сибирскую и китайскую ели.,5.857142857142857,6.0,coordination,stimul,2,"plural, and",plural,and
Borisova_2024,"Во время ужина Поля разбила предметы и чайного, и кофейного сервизов.",6.333333333333333,6.0,coordination,stimul,25,"plural, and…and",plural,and…and
Borisova_2024,В командировке Даша посетила музеи столичного и провинциального города.,5.0,5.0,coordination,stimul,22,"singular, and",singular,and
Borisova_2024,На концерте Степа спел куплеты дореволюционной и советской песни.,4.909090909090909,5.0,coordination,stimul,21,"singular, and",singular,and
Borisova_2024,За обедом Костя съел остатки капустного и яблочного пирогов.,6.0,6.0,coordination,stimul,27,"plural, and",plural,and
Borisova_2024,В четверг Леня посмотрел итальянский и немецкий фильм.,4.2727272727272725,4.0,coordination,stimul,8,"singular, and",singular,and
Borisova_2024,На этой неделе Максим сдала решения лабораторных и проверочных.,1.8369565217391304,2.0,bad,filler,33,bad,,
Borisova_2024,"После поломки Витя отремонтировал колесики и большого, и маленького чемодана.",5.0,5.0,coordination,stimul,30,"singular, and…and",singular,and…and
Borisova_2024,На прошлой неделе Ксюша прослушала части фортепианного и скрипичного концертов.,6.363636363636363,6.0,coordination,stimul,32,"plural, and",plural,and
Borisova_2024,В среду Сеня выучил следствия алгебраической и геометрической теоремы.,4.909090909090909,5.0,coordination,stimul,5,"singular, and",singular,and
Borisova_2024,После аварии Миша поменял колеса личного и рабочего автомобилей.,5.0,5.0,coordination,stimul,1,"plural, and",plural,and
Borisova_2024,"Через час Андрей рассказал и басню, и легенду.",5.829787234042553,6.0,good,filler,33,good,,
Borisova_2024,В среду Сеня выучил алгебраическую и геометрическую теоремы.,5.363636363636363,5.0,coordination,stimul,5,"plural, and",plural,and
