experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order
Belova_2022,Ты и я пишу заявление на увольнение.,2.230769230769231,2.0,coordination,stimul,15.0,118,you_I,1sg,and,SV
Belova_2022,Диван в гараж отвозишь я и ты.,2.4285714285714284,2.0,coordination,stimul,17.0,131,I_you,2sg,and,VS
Belova_2022,Коробки в макулатуру сдаём я и ты.,4.416666666666667,4.0,coordination,stimul,19.0,145,I_you,1pl,and,VS
Belova_2022,Ты и я копаю грядку под редис.,2.3076923076923075,2.0,coordination,stimul,24.0,190,you_I,1sg,and,SV
Belova_2022,Я и ты подбираем галстук под пиджак.,5.6,6.0,coordination,stimul,23.0,177,I_you,1pl,and,SV
Belova_2022,Я и ты вкладываем деньги в акции.,4.461538461538462,4.0,coordination,stimul,20.0,153,I_you,1pl,and,SV
Belova_2022,Подарок для подруги передаёшь ты и я.,2.210526315789474,2.0,coordination,stimul,2.0,15,you_I,2sg,and,VS
Belova_2022,Вечер у соседей провожу ты и я.,2.6923076923076925,3.0,coordination,stimul,6.0,46,you_I,1sg,and,VS
Belova_2022,Долги за семестр закрывают я и ты.,2.5625,3.0,coordination,stimul,27.0,212,I_you,3pl,and,VS
Belova_2022,Я и ты провожу вечер у соседей.,3.090909090909091,3.0,coordination,stimul,6.0,42,I_you,1sg,and,SV
Belova_2022,Ты и я чистим сапоги от грязи.,4.2,4.0,coordination,stimul,9.0,69,you_I,1pl,and,SV
Belova_2022,Ты и я готовим перекус из овощей.,5.333333333333333,5.0,coordination,stimul,31.0,245,you_I,1pl,and,SV
Belova_2022,Я и ты варят гречку на костре.,3.1818181818181817,3.0,coordination,stimul,13.0,100,I_you,3pl,and,SV
Belova_2022,Ты и я копаем грядку под редис.,4.846153846153846,5.0,coordination,stimul,24.0,189,you_I,1pl,and,SV
Belova_2022,Ты и я готовим реквизит для спектакля.,5.2,5.0,coordination,stimul,3.0,21,you_I,1pl,and,SV
Belova_2022,Духовку от жира отмываем я и ты.,4.416666666666667,4.0,coordination,stimul,10.0,73,I_you,1pl,and,VS
Belova_2022,Я и ты готовлю перекус из овощей.,2.7,3.0,coordination,stimul,31.0,242,I_you,1sg,and,SV
Belova_2022,Переезд за границу намечают я и ты.,2.933333333333333,3.0,coordination,stimul,26.0,204,I_you,3pl,and,VS
Belova_2022,Ключи от квартиры ищем ты и я.,4.785714285714286,5.0,coordination,stimul,12.0,93,you_I,1pl,and,VS
Belova_2022,Штрафы за парковку платим ты и я.,4.684210526315789,5.0,coordination,stimul,28.0,221,you_I,1pl,and,VS
Belova_2022,Для бульона Зоя купила лук и говядину.,6.526717557251908,7.0,good,filler,,277,,,,
Belova_2022,Катя и Федя на ужин запекли картошку в духовке.,6.392156862745098,6.0,good,filler,,259,,,,
Belova_2022,Я и ты строят крепость из снега.,3.933333333333333,4.0,coordination,stimul,30.0,236,I_you,3pl,and,SV
Belova_2022,Цветы на стеной нарисовал Арина и Аля.,1.7251908396946565,2.0,bad,filler,,258,,,,
Belova_2022,Цепочку у ломбарда выкупаешь я и ты.,2.4285714285714284,2.0,coordination,stimul,8.0,59,I_you,2sg,and,VS
Belova_2022,Долги за семестр закрываешь ты и я.,3.4285714285714284,3.0,coordination,stimul,27.0,215,you_I,2sg,and,VS
Belova_2022,Телевизор для бабушки покупаем ты и я.,4.2631578947368425,4.0,coordination,stimul,1.0,5,you_I,1pl,and,VS
Belova_2022,Ты и я читаешь письмо от ректора.,1.5,2.0,coordination,stimul,11.0,87,you_I,2sg,and,SV
Belova_2022,Стены под покраску ровняю я и ты.,3.1875,3.0,coordination,stimul,21.0,162,I_you,1sg,and,VS
Belova_2022,Диван в гараж отвозят я и ты.,3.2,3.0,coordination,stimul,17.0,132,I_you,3pl,and,VS
Belova_2022,Ты и я чиню шкафчик для посуды.,2.142857142857143,2.0,coordination,stimul,4.0,30,you_I,1sg,and,SV
Belova_2022,Я и ты сдаю коробки в макулатуру.,2.769230769230769,3.0,coordination,stimul,19.0,146,I_you,1sg,and,SV
Belova_2022,Ты и я варим гречку на костре.,5.75,6.0,coordination,stimul,13.0,101,you_I,1pl,and,SV
Belova_2022,Ты и я закрываю долги за семестр.,3.2666666666666666,3.0,coordination,stimul,27.0,214,you_I,1sg,and,SV
Belova_2022,Стены под покраску ровняем я и ты.,5.0,5.0,coordination,stimul,21.0,161,I_you,1pl,and,VS
Belova_2022,Грядку под редис копают я и ты.,3.1666666666666665,3.0,coordination,stimul,24.0,188,I_you,3pl,and,VS
Belova_2022,Билет на самолёт берут ты и я.,2.1875,2.0,coordination,stimul,14.0,112,you_I,3pl,and,VS
Belova_2022,Поездку на дачу планируешь ты и я.,3.1578947368421053,3.0,coordination,stimul,16.0,127,you_I,2sg,and,VS
Belova_2022,Аванс за квартиру вношу ты и я.,3.0,3.0,coordination,stimul,25.0,198,you_I,1sg,and,VS
Belova_2022,Зачёт по истории не сдали Витя и Настя.,6.396946564885496,6.0,good,filler,,273,,,,
Belova_2022,Ключи от квартиры ищешь я и ты.,2.473684210526316,2.0,coordination,stimul,12.0,91,I_you,2sg,and,VS
Belova_2022,Марина предложила гостям кофе и шарлотку.,6.323529411764706,6.0,good,filler,,269,,,,
Belova_2022,Я и ты планирую поездку на дачу.,2.5,2.0,coordination,stimul,16.0,122,I_you,1sg,and,SV
Belova_2022,Поездку на дачу планирую я и ты.,2.85,3.0,coordination,stimul,16.0,122,I_you,1sg,and,VS
Belova_2022,Переезд за границу намечаю я и ты.,2.833333333333333,3.0,coordination,stimul,26.0,202,I_you,1sg,and,VS
Belova_2022,Книги в библиотеку отдаю ты и я.,2.4285714285714284,2.0,coordination,stimul,18.0,142,you_I,1sg,and,VS
Belova_2022,Шкафчик для посуды чинят я и ты.,3.0,3.0,coordination,stimul,4.0,28,I_you,3pl,and,VS
Belova_2022,Ты и я читают письмо от ректора.,2.4285714285714284,2.0,coordination,stimul,11.0,88,you_I,3pl,and,SV
Belova_2022,Перекус из овощей готовим я и ты.,4.25,4.0,coordination,stimul,31.0,241,I_you,1pl,and,VS
Belova_2022,Я и ты покупаю телевизор для бабушки.,2.75,3.0,coordination,stimul,1.0,2,I_you,1sg,and,SV
Belova_2022,Сергей напечатала сборник рассказы и рецензия.,1.7623762376237624,2.0,bad,filler,,287,,,,
Belova_2022,Вечер у соседей провожу я и ты.,2.857142857142857,3.0,coordination,stimul,6.0,42,I_you,1sg,and,VS
Belova_2022,Новый телевизор сломали Никита и Юра.,6.030769230769231,6.0,good,filler,,271,,,,
Belova_2022,Машину из сервиса забирают ты и я.,2.9166666666666665,3.0,coordination,stimul,29.0,232,you_I,3pl,and,VS
Belova_2022,Участок под огород арендуют я и ты.,2.9285714285714284,3.0,coordination,stimul,22.0,172,I_you,3pl,and,VS
Belova_2022,Я и ты вносишь аванс за квартиру.,2.4285714285714284,2.0,coordination,stimul,25.0,195,I_you,2sg,and,SV
Belova_2022,Стены под покраску ровняешь ты и я.,2.6666666666666665,3.0,coordination,stimul,21.0,167,you_I,2sg,and,VS
Belova_2022,Духовку от жира отмываем ты и я.,5.0,5.0,coordination,stimul,10.0,77,you_I,1pl,and,VS
Belova_2022,Галстук под пиджак подбирают я и ты.,2.473684210526316,2.0,coordination,stimul,23.0,180,I_you,3pl,and,VS
Belova_2022,Шкафчик для посуды чиню ты и я.,2.6666666666666665,3.0,coordination,stimul,4.0,30,you_I,1sg,and,VS
Belova_2022,Долги за семестр закрываю я и ты.,3.238095238095238,3.0,coordination,stimul,27.0,210,I_you,1sg,and,VS
Belova_2022,Аванс за квартиру вносишь ты и я.,3.3157894736842106,3.0,coordination,stimul,25.0,199,you_I,2sg,and,VS
Belova_2022,Я и ты готовим реквизит для спектакля.,5.307692307692308,5.0,coordination,stimul,3.0,17,I_you,1pl,and,SV
Belova_2022,Я и ты передают подарок для подруги.,2.4,2.0,coordination,stimul,2.0,12,I_you,3pl,and,SV
Belova_2022,Рассвет у озера встречаю ты и я.,2.4375,2.0,coordination,stimul,7.0,54,you_I,1sg,and,VS
Belova_2022,Я и ты сдаём коробки в макулатуру.,4.785714285714286,5.0,coordination,stimul,19.0,145,I_you,1pl,and,SV
Belova_2022,Комнату у метро снимаем я и ты.,4.777777777777778,5.0,coordination,stimul,5.0,33,I_you,1pl,and,VS
Belova_2022,Долги за семестр закрываю ты и я.,3.071428571428572,3.0,coordination,stimul,27.0,214,you_I,1sg,and,VS
Belova_2022,Сапоги от грязи чистишь я и ты.,2.2,2.0,coordination,stimul,9.0,67,I_you,2sg,and,VS
Belova_2022,Участок под огород арендую я и ты.,3.5789473684210527,4.0,coordination,stimul,22.0,170,I_you,1sg,and,VS
Belova_2022,Ты и я сдаёшь коробки в макулатуру.,2.5454545454545454,3.0,coordination,stimul,19.0,151,you_I,2sg,and,SV
Belova_2022,Билет на самолёт берут я и ты.,2.263157894736842,2.0,coordination,stimul,14.0,108,I_you,3pl,and,VS
Belova_2022,Ты и я пишут заявление на увольнение.,2.6,3.0,coordination,stimul,15.0,120,you_I,3pl,and,SV
Belova_2022,Я и ты ищешь ключи от квартиры.,1.8,2.0,coordination,stimul,12.0,91,I_you,2sg,and,SV
Belova_2022,Вася и Петя на каникулах съездили на море.,6.247524752475248,6.0,good,filler,,257,,,,
Belova_2022,Оля покаталась на колесе обозрения и на карусели.,6.0,6.0,good,filler,,271,,,,
Belova_2022,Я и ты намечаем переезд за границу.,5.166666666666667,5.0,coordination,stimul,26.0,201,I_you,1pl,and,SV
Belova_2022,Ты и я забираем машину из сервиса.,4.733333333333333,5.0,coordination,stimul,29.0,229,you_I,1pl,and,SV
Belova_2022,Машину из сервиса забираешь я и ты.,2.0625,2.0,coordination,stimul,29.0,227,I_you,2sg,and,VS
Belova_2022,Ты и я чистишь сапоги от грязи.,2.363636363636364,2.0,coordination,stimul,9.0,71,you_I,2sg,and,SV
Belova_2022,Коробки в макулатуру сдаёшь ты и я.,3.5,4.0,coordination,stimul,19.0,151,you_I,2sg,and,VS
Belova_2022,Подарок для подруги передают ты и я.,2.75,3.0,coordination,stimul,2.0,16,you_I,3pl,and,VS
Belova_2022,Духовку от жира отмываю ты и я.,3.0,3.0,coordination,stimul,10.0,78,you_I,1sg,and,VS
Belova_2022,Снежинки из бумаги вырезают ты и я.,2.466666666666667,2.0,coordination,stimul,32.0,256,you_I,3pl,and,VS
Belova_2022,Реквизит для спектакля готовим я и ты.,5.666666666666667,6.0,coordination,stimul,3.0,17,I_you,1pl,and,VS
Belova_2022,Ты и я проводишь вечер у соседей.,2.5,2.0,coordination,stimul,6.0,47,you_I,2sg,and,SV
Belova_2022,Билет на самолёт беру я и ты.,3.2857142857142856,3.0,coordination,stimul,14.0,106,I_you,1sg,and,VS
Belova_2022,Я и ты чистим сапоги от грязи.,5.285714285714286,5.0,coordination,stimul,9.0,65,I_you,1pl,and,SV
Belova_2022,Я и ты отдаю книги в библиотеку.,2.6923076923076925,3.0,coordination,stimul,18.0,138,I_you,1sg,and,SV
Belova_2022,Ты и я отдаём книги в библиотеку.,4.0,4.0,coordination,stimul,18.0,141,you_I,1pl,and,SV
Belova_2022,Духовку от жира отмываешь ты и я.,3.5,4.0,coordination,stimul,10.0,79,you_I,2sg,and,VS
Belova_2022,Бабушка сделала прически мне и Любе.,5.941176470588236,6.0,good,filler,,266,,,,
Belova_2022,Лера и Артём не подобрала шторы к диваном.,1.7058823529411764,2.0,bad,filler,,277,,,,
Belova_2022,Ты и я готовлю перекус из овощей.,2.230769230769231,2.0,coordination,stimul,31.0,246,you_I,1sg,and,SV
Belova_2022,Я и ты ищем ключи от квартиры.,5.230769230769231,5.0,coordination,stimul,12.0,89,I_you,1pl,and,SV
Belova_2022,Книги в библиотеку отдаю я и ты.,3.789473684210526,4.0,coordination,stimul,18.0,138,I_you,1sg,and,VS
Belova_2022,Ты и я закрываешь долги за семестр.,2.4545454545454546,2.0,coordination,stimul,27.0,215,you_I,2sg,and,SV
Belova_2022,Рассвет у озера встречаю я и ты.,3.2,3.0,coordination,stimul,7.0,50,I_you,1sg,and,VS
Belova_2022,Реквизит для спектакля готовишь ты и я.,3.1666666666666665,3.0,coordination,stimul,3.0,23,you_I,2sg,and,VS
Belova_2022,На сцену подрался гитарист и ударник.,1.83206106870229,2.0,bad,filler,,272,,,,
Belova_2022,Я и ты сдаёшь коробки в макулатуру.,1.8461538461538465,2.0,coordination,stimul,19.0,147,I_you,2sg,and,SV
Belova_2022,Крепость из строю снега ты и я.,1.55,2.0,coordination,stimul,30.0,238,you_I,1sg,and,VS
Belova_2022,Долги за семестр закрываешь я и ты.,2.7333333333333334,3.0,coordination,stimul,27.0,211,I_you,2sg,and,VS
Belova_2022,Ты и я ищем ключи от квартиры.,4.727272727272728,5.0,coordination,stimul,12.0,93,you_I,1pl,and,SV
Belova_2022,Я и ты готовят перекус из овощей.,2.909090909090909,3.0,coordination,stimul,31.0,244,I_you,3pl,and,SV
Belova_2022,Я и ты вырезают снежинки из бумаги.,3.1666666666666665,3.0,coordination,stimul,32.0,252,I_you,3pl,and,SV
Belova_2022,Я и ты отдаём книги в библиотеку.,4.357142857142857,4.0,coordination,stimul,18.0,137,I_you,1pl,and,SV
Belova_2022,Письмо от ректора читаем я и ты.,4.975,5.0,coordination,stimul,11.0,84,I_you,3pl,and,VS
Belova_2022,Я и ты строишь крепость из снега.,2.0,2.0,coordination,stimul,30.0,235,I_you,2sg,and,SV
Belova_2022,Рассвет у озера встречаем ты и я.,5.4,5.0,coordination,stimul,7.0,53,you_I,1pl,and,VS
Belova_2022,Долги за семестр закрываем я и ты.,4.333333333333333,4.0,coordination,stimul,27.0,209,I_you,1pl,and,VS
Belova_2022,Телевизор для бабушки покупают ты и я.,2.210526315789474,2.0,coordination,stimul,1.0,8,you_I,3pl,and,VS
Belova_2022,Костя и Денис на рыбалке поймали щуку.,6.490196078431373,6.0,good,filler,,262,,,,
Belova_2022,Цепочку у ломбарда выкупают ты и я.,1.9285714285714288,2.0,coordination,stimul,8.0,64,you_I,3pl,and,VS
Belova_2022,Диван в гараж отвозим я и ты.,4.65,5.0,coordination,stimul,17.0,129,I_you,1pl,and,VS
Belova_2022,Подарок для подруги передаю ты и я.,2.142857142857143,2.0,coordination,stimul,2.0,14,you_I,1sg,and,VS
Belova_2022,Деньги в акции вкладывают ты и я.,3.0,3.0,coordination,stimul,20.0,160,you_I,3pl,and,VS
Belova_2022,Переезд за границу намечаем ты и я.,3.9375,4.0,coordination,stimul,26.0,205,you_I,1pl,and,VS
Belova_2022,Деньги в акции вкладываешь я и ты.,2.4375,2.0,coordination,stimul,20.0,155,I_you,2sg,and,VS
Belova_2022,Билет на самолёт берёшь я и ты.,2.7142857142857144,3.0,coordination,stimul,14.0,107,I_you,2sg,and,VS
Belova_2022,Я и ты подбирают галстук под пиджак.,3.25,3.0,coordination,stimul,23.0,180,I_you,3pl,and,SV
Belova_2022,Крепость из снега строят ты и я.,3.0,3.0,coordination,stimul,30.0,240,you_I,3pl,and,VS
Belova_2022,Ты и я проводят вечер у соседей.,2.2,2.0,coordination,stimul,6.0,48,you_I,3pl,and,SV
Belova_2022,Я и ты отдаёшь книги в библиотеку.,1.7692307692307692,2.0,coordination,stimul,18.0,139,I_you,2sg,and,SV
Belova_2022,Духовку от жира отмывают ты и я.,2.6,3.0,coordination,stimul,10.0,80,you_I,3pl,and,VS
Belova_2022,Ты и я читаю письмо от ректора.,2.636363636363636,3.0,coordination,stimul,11.0,86,you_I,1sg,and,SV
Belova_2022,Комнату у метро снимаем ты и я.,3.9166666666666665,4.0,coordination,stimul,5.0,37,you_I,1pl,and,VS
Belova_2022,Ты и я чинят шкафчик для посуды.,2.5384615384615383,3.0,coordination,stimul,4.0,32,you_I,3pl,and,SV
Belova_2022,Ты и я провожу вечер у соседей.,1.9230769230769231,2.0,coordination,stimul,6.0,46,you_I,1sg,and,SV
Belova_2022,Галстук под пиджак подбираем я и ты.,4.888888888888889,5.0,coordination,stimul,23.0,177,I_you,1pl,and,VS
Belova_2022,Аванс за квартиру вносим ты и я.,5.333333333333333,5.0,coordination,stimul,25.0,197,you_I,1pl,and,VS
Belova_2022,Яна пересадила в горшки астрами и фиалки.,2.5392156862745097,3.0,good,filler,,272,,,,
Belova_2022,Я и ты отвозишь диван в гараж.,2.1666666666666665,2.0,coordination,stimul,17.0,131,I_you,2sg,and,SV
Belova_2022,Я и ты готовишь перекус из овощей.,3.466666666666667,3.0,coordination,stimul,31.0,243,I_you,2sg,and,SV
Belova_2022,Реквизит для спектакля готовишь я и ты.,2.5789473684210527,3.0,coordination,stimul,3.0,19,I_you,2sg,and,VS
Belova_2022,В четверг Вася и Дима сделали генеральную уборку.,6.661538461538462,7.0,good,filler,,270,,,,
Belova_2022,Ты и я ищу ключи от квартиры.,1.9166666666666667,2.0,coordination,stimul,12.0,94,you_I,1sg,and,SV
Belova_2022,Телевизор для бабушки покупаю ты и я.,2.2857142857142856,2.0,coordination,stimul,1.0,6,you_I,1sg,and,VS
Belova_2022,Духовку от жира отмывают я и ты.,2.6875,3.0,coordination,stimul,10.0,76,I_you,3pl,and,VS
Belova_2022,Я и ты проводишь вечер у соседей.,2.1666666666666665,2.0,coordination,stimul,6.0,43,I_you,2sg,and,SV
Belova_2022,По утрам Денис завтракал кашей и чаем.,5.728682170542636,6.0,good,filler,,265,,,,
Belova_2022,В кафе Кристина заказали лазанья и коктейля.,1.5725190839694656,2.0,bad,filler,,278,,,,
Belova_2022,Цепочку у ломбарда выкупаешь ты и я.,3.0,3.0,coordination,stimul,8.0,63,you_I,2sg,and,VS
Belova_2022,Ты и я ищешь ключи от квартиры.,2.2142857142857144,2.0,coordination,stimul,12.0,95,you_I,2sg,and,SV
Belova_2022,Машину из сервиса забираешь ты и я.,2.45,2.0,coordination,stimul,29.0,231,you_I,2sg,and,VS
Belova_2022,Ты и я берёшь билет на самолёт.,1.6153846153846154,2.0,coordination,stimul,14.0,111,you_I,2sg,and,SV
Belova_2022,Телевизор для бабушки покупаем я и ты.,4.181818181818182,4.0,coordination,stimul,1.0,1,I_you,1pl,and,VS
Belova_2022,Я и ты пишут заявление на увольнение.,2.5,2.0,coordination,stimul,15.0,116,I_you,3pl,and,SV
Belova_2022,Шкафчик для посуды чинишь ты и я.,3.333333333333333,3.0,coordination,stimul,4.0,31,you_I,2sg,and,VS
Belova_2022,Подарок для подруги передают я и ты.,2.526315789473684,3.0,coordination,stimul,2.0,12,I_you,3pl,and,VS
Belova_2022,Я и ты варишь гречку на костре.,3.066666666666667,3.0,coordination,stimul,13.0,99,I_you,2sg,and,SV
Belova_2022,Грядку под редис копают ты и я.,2.736842105263158,3.0,coordination,stimul,24.0,192,you_I,3pl,and,VS
Belova_2022,Ты и я платят штрафы за парковку.,3.0,3.0,coordination,stimul,28.0,224,you_I,3pl,and,SV
Belova_2022,Гречку на костре варят ты и я.,3.4,3.0,coordination,stimul,13.0,104,you_I,3pl,and,VS
Belova_2022,Заявление на увольнение пишешь ты и я.,2.6875,3.0,coordination,stimul,15.0,119,you_I,2sg,and,VS
Belova_2022,Ты и я сдают коробки в макулатуру.,3.1666666666666665,3.0,coordination,stimul,19.0,152,you_I,3pl,and,SV
Belova_2022,Ключи от квартиры ищут я и ты.,2.3846153846153846,2.0,coordination,stimul,12.0,92,I_you,3pl,and,VS
Belova_2022,Телевизор для бабушки покупаешь я и ты.,1.7333333333333334,2.0,coordination,stimul,1.0,3,I_you,2sg,and,VS
Belova_2022,Ты и я пишешь заявление на увольнение.,2.4285714285714284,2.0,coordination,stimul,15.0,119,you_I,2sg,and,SV
Belova_2022,Я и ты платим штрафы за парковку.,4.785714285714286,5.0,coordination,stimul,28.0,217,I_you,1pl,and,SV
Belova_2022,Ты и я забирают машину из сервиса.,2.142857142857143,2.0,coordination,stimul,29.0,232,you_I,3pl,and,SV
Belova_2022,Реквизит для спектакля готовлю ты и я.,2.526315789473684,3.0,coordination,stimul,3.0,22,you_I,1sg,and,VS
Belova_2022,Ты и я вносишь аванс за квартиру.,2.3,2.0,coordination,stimul,25.0,199,you_I,2sg,and,SV
Belova_2022,Ты и я отдаёшь книги в библиотеку.,2.090909090909091,2.0,coordination,stimul,18.0,143,you_I,2sg,and,SV
Belova_2022,Ты и я намечаешь переезд за границу.,3.2,3.0,coordination,stimul,26.0,207,you_I,2sg,and,SV
Belova_2022,Я и ты ровняешь стены под покраску.,2.1,2.0,coordination,stimul,21.0,163,I_you,2sg,and,SV
Belova_2022,Стас и Лёша смастерила кормушкой для птиц.,1.7058823529411764,2.0,bad,filler,,273,,,,
Belova_2022,Диван в гараж отвозишь ты и я.,3.2857142857142856,3.0,coordination,stimul,17.0,135,you_I,2sg,and,VS
Belova_2022,Участок под огород арендуешь я и ты.,2.5,2.0,coordination,stimul,22.0,171,I_you,2sg,and,VS
Belova_2022,Письмо от ректора читаешь ты и я.,2.35,2.0,coordination,stimul,11.0,87,you_I,2sg,and,VS
Belova_2022,Штрафы за парковку плачу ты и я.,2.857142857142857,3.0,coordination,stimul,28.0,222,you_I,1sg,and,VS
Belova_2022,Ты и я проводим вечер у соседей.,4.333333333333333,4.0,coordination,stimul,6.0,45,you_I,1pl,and,SV
Belova_2022,Машину из сервиса забирают я и ты.,2.736842105263158,3.0,coordination,stimul,29.0,228,I_you,3pl,and,VS
Belova_2022,Комнату у метро снимают я и ты.,2.0,2.0,coordination,stimul,5.0,36,I_you,3pl,and,VS
Belova_2022,Ты и я намечают переезд за границу.,3.090909090909091,3.0,coordination,stimul,26.0,208,you_I,3pl,and,SV
Belova_2022,Поездку на дачу планируют ты и я.,2.5,2.0,coordination,stimul,16.0,128,you_I,3pl,and,VS
Belova_2022,Цепочку у ломбарда выкупаем я и ты.,4.526315789473684,5.0,coordination,stimul,8.0,57,I_you,1pl,and,VS
Belova_2022,Аркадий заехал в магазину и на работой.,1.6764705882352942,2.0,bad,filler,,285,,,,
Belova_2022,Ты и я передают подарок для подруги.,2.357142857142857,2.0,coordination,stimul,2.0,16,you_I,3pl,and,SV
Belova_2022,Я и ты арендуем участок под огород.,5.357142857142857,5.0,coordination,stimul,22.0,169,I_you,1pl,and,SV
Belova_2022,Ты и я читаем письмо от ректора.,5.066666666666666,5.0,coordination,stimul,11.0,85,you_I,1pl,and,SV
Belova_2022,Ты и я отвозят диван в гараж.,2.8181818181818183,3.0,coordination,stimul,17.0,136,you_I,3pl,and,SV
Belova_2022,Ты и я арендую участок под огород.,2.7142857142857144,3.0,coordination,stimul,22.0,174,you_I,1sg,and,SV
Belova_2022,Книги в библиотеку отдаём я и ты.,4.333333333333333,4.0,coordination,stimul,18.0,137,I_you,1pl,and,VS
Belova_2022,Крепость из строю снега я и ты.,1.4375,1.0,coordination,stimul,30.0,234,I_you,1sg,and,VS
Belova_2022,Ты и я вырезаем снежинки из бумаги.,4.571428571428571,5.0,coordination,stimul,32.0,253,you_I,1pl,and,SV
Belova_2022,Аванс за квартиру вношу я и ты.,3.15,3.0,coordination,stimul,25.0,194,I_you,1sg,and,VS
Belova_2022,Я и ты ищут ключи от квартиры.,3.4,3.0,coordination,stimul,12.0,92,I_you,3pl,and,SV
Belova_2022,В марте и апрелю Тася прошли стажировку.,1.916030534351145,2.0,bad,filler,,268,,,,
Belova_2022,Перекус из овощей готовят ты и я.,3.2,3.0,coordination,stimul,31.0,248,you_I,3pl,and,VS
