experiment,sentence,response,response_round,subtype,type,lexicalization,sentence_id,conjuncts,agreement,conjunction,order,predicate_type,gender_match
Pasko_2022,В мамином характере соединяются мягкость и строгость.,7.0,7.0,coordination,stimul,1,1,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Карьера и образование связывается в последнем докладе.,3.3,3.0,coordination,stimul,8,60,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Сердце и круг чередуются в причудливом узоре.,6.0,6.0,coordination,stimul,32,250,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В мамином характере проявляется мягкость и строгость.,5.8,6.0,coordination,stimul,1,7,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,На данный момент профессор пишет книгой и статью.,1.6181818181818182,2.0,bad,filler,501,532,,,,,,
Pasko_2022,В великом романе теряется поэзия и проза.,5.2,5.0,coordination,stimul,13,103,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В модной прическе используется прядь и лента.,5.888888888888889,6.0,coordination,stimul,31,247,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Море и солнце описываются в известном стихотворении.,6.428571428571429,6.0,coordination,stimul,27,214,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В правом углу обваливаются дом и изгородь.,2.333333333333333,2.0,coordination,stimul,14,109,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,На следующем шаге вычитаются икс и игрек.,4.833333333333333,5.0,coordination,stimul,11,85,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Поэзия и проза сопрягается в великом романе.,3.7142857142857135,4.0,coordination,stimul,13,100,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,В классическом искусстве сочетается порядок и хаос.,5.3,5.0,coordination,stimul,25,195,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В этой точке встречаются прошлое и настоящее.,7.0,7.0,coordination,stimul,9,65,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Труд и досуг недооценивается в ежедневном распорядке.,3.142857142857143,3.0,coordination,stimul,19,152,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В оригинальном сценарии отображается долг и зло.,3.7142857142857135,4.0,coordination,stimul,28,223,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Петя пишет сочинение и диктант на этом уроком.,2.3703703703703702,2.0,bad,filler,501,506,,,,,,
Pasko_2022,Бумага и обложка склеивается в дешевом блокноте.,4.285714285714286,4.0,coordination,stimul,17,132,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Поэзия и проза теряется в великом романе.,4.285714285714286,4.0,coordination,stimul,13,104,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Протез и кость срастается в левом бедре.,3.75,4.0,coordination,stimul,30,236,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В последнем докладе связываются карьера и образование.,5.571428571428571,6.0,coordination,stimul,8,57,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,Стекло и рама производятся на первом этапе.,5.875,6.0,coordination,stimul,24,190,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В причудливом узоре закрашивается сердце и круг.,5.0,5.0,coordination,stimul,32,255,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В этой теории отождествляется вера и религия.,4.5,4.0,coordination,stimul,23,179,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Честность и прямолинейность ценится в человеческом общении.,6.142857142857143,6.0,coordination,stimul,3,24,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В последнем докладе анализируются карьера и образование.,6.666666666666667,7.0,coordination,stimul,8,61,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Расход и прибыль складываются в годовом отчете.,3.5,4.0,coordination,stimul,16,122,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Дом и изгородь соприкасается в правом углу.,2.75,3.0,coordination,stimul,14,108,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Икс и игрек вычитается на следующем шаге.,3.142857142857143,3.0,coordination,stimul,11,88,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,В этой теории игнорируется вера и религия.,5.888888888888889,6.0,coordination,stimul,23,183,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В отдаленном регионе развивается город и деревня.,4.142857142857143,4.0,coordination,stimul,10,79,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В усадебном стиле выделяется новаторство и традиция.,5.142857142857143,5.0,coordination,stimul,18,143,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,На музейной экспертизе сравниваются оригинал и подделка.,5.714285714285714,6.0,coordination,stimul,20,153,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,Интеллигенция и пролетариат разобщаются в современном мире.,5.875,6.0,coordination,stimul,12,90,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Протез и кость разрушаются в левом бедре.,5.8,6.0,coordination,stimul,30,238,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,На музейной экспертизе изучаются оригинал и подделка.,4.714285714285714,5.0,coordination,stimul,20,157,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Маша ценит доброту и честность в других людях.,6.574074074074074,7.0,good,filler,501,517,,,,,,
Pasko_2022,Провод и ремень перетирается в примитивном механизме.,4.428571428571429,4.0,coordination,stimul,29,232,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Земля и небо размываются на далеком горизонте.,5.5,6.0,coordination,stimul,22,174,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,На старой фотографии стираются лицо и фон.,5.0,5.0,coordination,stimul,2,13,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,В этой точке заканчивается прошлое и настоящее.,4.6,5.0,coordination,stimul,9,71,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Лицо и фон стирается на старой фотографии.,4.25,4.0,coordination,stimul,2,16,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Сердце и круг закрашиваются в причудливом узоре.,5.125,5.0,coordination,stimul,32,254,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,Карьера и образование анализируется в последнем докладе.,6.2,6.0,coordination,stimul,8,64,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Дети хотят конструктор и паззлом на Новый год.,1.8,2.0,bad,filler,501,526,,,,,,
Pasko_2022,В известном стихотворении объединяются море и солнце.,6.4,6.0,coordination,stimul,27,209,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,В дешевом блокноте склеивается бумага и обложка.,5.1,5.0,coordination,stimul,17,131,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В его поведении люди видят лицемерие и заносчивость.,6.345454545454546,6.0,good,filler,501,527,,,,,,
Pasko_2022,Карьера и образование связываются в последнем докладе.,4.5,4.0,coordination,stimul,8,58,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Земля и небо сходится на далеком горизонте.,4.0,4.0,coordination,stimul,22,172,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Люди покупают золото и серебро в ювелирном магазина.,3.1666666666666665,3.0,bad,filler,501,518,,,,,,
Pasko_2022,Прошлое и настоящее встречается в этой точке.,5.285714285714286,5.0,coordination,stimul,9,68,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Сердце и круг закрашивается в причудливом узоре.,4.166666666666667,4.0,coordination,stimul,32,256,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В современном мире осуждается интеллигенция и пролетариат.,4.5,4.0,coordination,stimul,12,95,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Окружность и отрезок находится на нижнем рисунке.,3.25,3.0,coordination,stimul,26,208,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Мягкость и строгость проявляется в мамином характере.,4.571428571428571,5.0,coordination,stimul,1,8,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,На далеком горизонте сходится земля и небо.,3.857142857142857,4.0,coordination,stimul,22,171,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Теория и практика совмещается в новом курсе.,4.857142857142857,5.0,coordination,stimul,7,52,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Бумага и обложка склеиваются в дешевом блокноте.,4.857142857142857,5.0,coordination,stimul,17,130,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,В серебряной застежке ломаются крючок и кольцо.,4.857142857142857,5.0,coordination,stimul,6,45,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,В официальной версии смешивается правда и ложь.,5.666666666666667,6.0,coordination,stimul,5,35,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В отдаленном регионе сближаются город и деревня.,4.142857142857143,4.0,coordination,stimul,10,73,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,В правом углу соприкасаются дом и изгородь.,5.4,5.0,coordination,stimul,14,105,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,В ежедневном распорядке недооценивается труд и досуг.,5.0,5.0,coordination,stimul,19,151,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,На следующем шаге вычитается икс и игрек.,4.75,5.0,coordination,stimul,11,87,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Из всех напитков дети предпочитают сок и газировку.,6.444444444444445,6.0,good,filler,501,519,,,,,,
Pasko_2022,Сердце и круг чередуется в причудливом узоре.,4.5,4.0,coordination,stimul,32,252,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В деревянном пенале Саша хранит карандашу и ручку.,2.888888888888889,3.0,bad,filler,501,504,,,,,,
Pasko_2022,Труд и досуг недооцениваются в ежедневном распорядке.,6.285714285714286,6.0,coordination,stimul,19,150,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В серебряной застежке ломается крючок и кольцо.,4.428571428571429,4.0,coordination,stimul,6,47,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В годовом отчете складывается расход и прибыль.,4.857142857142857,5.0,coordination,stimul,16,123,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В великом романе теряются поэзия и проза.,4.666666666666667,5.0,coordination,stimul,13,101,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Новаторство и традиция смыкаются в усадебном стиле.,4.4,4.0,coordination,stimul,18,138,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В первом предложении склоняется существительное и местоимение.,5.2,5.0,coordination,stimul,21,167,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В человеческом общении ценится честность и прямолинейность.,6.25,6.0,coordination,stimul,3,23,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,В левом бедре разрушается протез и кость.,3.571428571428572,4.0,coordination,stimul,30,239,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В годовом отчете складываются расход и прибыль.,5.142857142857143,5.0,coordination,stimul,16,121,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,Оригинал и подделка сравнивается на музейной экспертизе.,4.5,4.0,coordination,stimul,20,156,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,Существительное и местоимение сочиняются в первом предложении.,3.6,4.0,coordination,stimul,21,162,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Смирение и тщеславие противопоставляются в религиозных текстах.,6.428571428571429,6.0,coordination,stimul,15,114,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,В официальной версии смешиваются правда и ложь.,6.111111111111111,6.0,coordination,stimul,5,33,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,В примитивном механизме спутывается провод и ремень.,5.6,6.0,coordination,stimul,29,227,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В этой точке заканчиваются прошлое и настоящее.,6.333333333333333,6.0,coordination,stimul,9,69,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Окружность и отрезок пересекается на нижнем рисунке.,4.555555555555555,5.0,coordination,stimul,26,204,noun_noun,sg,and,SV,symmetric,nonmatch
Pasko_2022,В человеческом общении ценятся честность и прямолинейность.,6.333333333333333,6.0,coordination,stimul,3,21,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Новаторство и традиция выделяются в усадебном стиле.,4.833333333333333,5.0,coordination,stimul,18,142,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,В религиозных текстах противопоставляется смирение и тщеславие.,6.0,6.0,coordination,stimul,15,115,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В годовом отчете учитываются расход и прибыль.,6.571428571428571,7.0,coordination,stimul,16,125,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Провод и ремень перетираются в примитивном механизме.,5.571428571428571,6.0,coordination,stimul,29,230,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В причудливом узоре чередуется сердце и круг.,6.333333333333333,6.0,coordination,stimul,32,251,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Поэзия и проза сопрягаются в великом романе.,5.0,5.0,coordination,stimul,13,98,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,Прядь и лента используются в модной прическе.,5.666666666666667,6.0,coordination,stimul,31,246,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,В этой теории игнорируются вера и религия.,6.222222222222222,6.0,coordination,stimul,23,181,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Честность и прямолинейность различаются в человеческом общении.,5.857142857142857,6.0,coordination,stimul,3,18,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,На нижнем рисунке находится окружность и отрезок.,4.428571428571429,4.0,coordination,stimul,26,207,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В новом курсе совмещаются теория и практика.,6.166666666666667,6.0,coordination,stimul,7,49,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Во время отпуска друзья обустраивают кухне и прихожую.,1.9814814814814807,2.0,bad,filler,501,520,,,,,,
Pasko_2022,Правда и ложь смешивается в официальной версии.,4.714285714285714,5.0,coordination,stimul,5,36,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,В левом бедре разрушаются протез и кость.,5.0,5.0,coordination,stimul,30,237,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,Мягкость и строгость соединяется в мамином характере.,5.428571428571429,5.0,coordination,stimul,1,4,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Ваня кладет компьютер и зарядку в походный рюкзак.,5.849056603773585,6.0,good,filler,501,513,,,,,,
Pasko_2022,В оригинальном сценарии отображаются долг и зло.,5.714285714285714,6.0,coordination,stimul,28,221,noun_noun,pl,and,VS,nonsymmetric,nonmatch
Pasko_2022,В этой теории отождествляются вера и религия.,6.333333333333333,6.0,coordination,stimul,23,177,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Теория и практика освещаются в новом курсе.,6.428571428571429,6.0,coordination,stimul,7,54,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Существительное и местоимение склоняются в первом предложении.,6.0,6.0,coordination,stimul,21,166,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Протез и кость срастаются в левом бедре.,5.333333333333333,5.0,coordination,stimul,30,234,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,В известном стихотворении описывается море и солнце.,6.0,6.0,coordination,stimul,27,215,noun_noun,sg,and,VS,nonsymmetric,match
Pasko_2022,Стекло и рама производится на первом этапе.,4.0,4.0,coordination,stimul,24,192,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В правом углу соприкасается дом и изгородь.,3.857142857142857,4.0,coordination,stimul,14,107,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Новаторство и традиция выделяется в усадебном стиле.,4.0,4.0,coordination,stimul,18,144,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,На далеком горизонте размывается земля и небо.,5.5,6.0,coordination,stimul,22,175,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,Поэзия и проза теряются в великом романе.,6.142857142857143,6.0,coordination,stimul,13,102,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Соль и сахар кладется в глубокую емкость.,5.0,5.0,coordination,stimul,4,32,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В следующем месяце сестрой сдает экзамен и зачет.,1.6181818181818182,2.0,bad,filler,501,512,,,,,,
Pasko_2022,Сотрудница настраивает принтер и сканером для двусторонней печати.,2.685185185185185,3.0,bad,filler,501,510,,,,,,
Pasko_2022,Во встроенном шкафу жильцы хранят одежду и обувь.,6.472727272727273,6.0,good,filler,501,515,,,,,,
Pasko_2022,На первом этапе скрепляется стекло и рама.,5.0,5.0,coordination,stimul,24,187,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,Во многих случаях экзамен вызывает страх и беспокойство.,6.4,6.0,good,filler,501,511,,,,,,
Pasko_2022,Мягкость и строгость соединяются в мамином характере.,5.0,5.0,coordination,stimul,1,2,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,В первом предложении склоняются существительное и местоимение.,5.75,6.0,coordination,stimul,21,165,noun_noun,pl,and,VS,nonsymmetric,match
Pasko_2022,Существительное и местоимение склоняется в первом предложении.,4.166666666666667,4.0,coordination,stimul,21,168,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Брат проходит сложение и умножение в начальной школу.,2.2545454545454544,2.0,bad,filler,501,531,,,,,,
Pasko_2022,В усадебном стиле смыкаются новаторство и традиция.,4.571428571428571,5.0,coordination,stimul,18,137,noun_noun,pl,and,VS,symmetric,nonmatch
Pasko_2022,В правом углу обваливается дом и изгородь.,3.2857142857142856,3.0,coordination,stimul,14,111,noun_noun,sg,and,VS,nonsymmetric,nonmatch
Pasko_2022,В этой точке встречается прошлое и настоящее.,5.5,6.0,coordination,stimul,9,67,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Лицо и фон сливаются на старой фотографии.,6.777777777777778,7.0,coordination,stimul,2,10,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Дом и изгородь обваливаются в правом углу.,4.6,5.0,coordination,stimul,14,110,noun_noun,pl,and,SV,nonsymmetric,nonmatch
Pasko_2022,Крючок и кольцо ломается в серебряной застежке.,4.666666666666667,5.0,coordination,stimul,6,48,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,Вера и религия игнорируется в этой теории.,5.4,5.0,coordination,stimul,23,184,noun_noun,sg,and,SV,nonsymmetric,match
Pasko_2022,Порядок и хаос умещаются в классическом искусстве.,5.0,5.0,coordination,stimul,25,198,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Прошлое и настоящее заканчиваются в этой точке.,5.6,6.0,coordination,stimul,9,70,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Город и деревня развивается в отдаленном регионе.,2.75,3.0,coordination,stimul,10,80,noun_noun,sg,and,SV,nonsymmetric,nonmatch
Pasko_2022,В последнем докладе связывается карьера и образование.,4.428571428571429,4.0,coordination,stimul,8,59,noun_noun,sg,and,VS,symmetric,nonmatch
Pasko_2022,В известном стихотворении объединяется море и солнце.,5.444444444444445,5.0,coordination,stimul,27,211,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,Смирение и тщеславие противопоставляется в религиозных текстах.,4.142857142857143,4.0,coordination,stimul,15,116,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,Порядок и хаос сочетается в классическом искусстве.,4.285714285714286,4.0,coordination,stimul,25,196,noun_noun,sg,and,SV,symmetric,match
Pasko_2022,В человеческом общении различаются честность и прямолинейность.,4.2,4.0,coordination,stimul,3,17,noun_noun,pl,and,VS,symmetric,match
Pasko_2022,Долг и зло переплетаются в оригинальном сценарии.,5.555555555555555,6.0,coordination,stimul,28,218,noun_noun,pl,and,SV,symmetric,nonmatch
Pasko_2022,Икс и игрек вычитаются на следующем шаге.,6.285714285714286,6.0,coordination,stimul,11,86,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Правда и ложь скрываются в официальной версии.,6.333333333333333,6.0,coordination,stimul,5,38,noun_noun,pl,and,SV,nonsymmetric,match
Pasko_2022,Море и солнце объединяются в известном стихотворении.,6.0,6.0,coordination,stimul,27,210,noun_noun,pl,and,SV,symmetric,match
Pasko_2022,На следующем шаге перемножается икс и игрек.,5.444444444444445,5.0,coordination,stimul,11,83,noun_noun,sg,and,VS,symmetric,match
Pasko_2022,В официальной версии скрываются правда и ложь.,5.0,5.0,coordination,stimul,5,37,noun_noun,pl,and,VS,nonsymmetric,match
